KPI,Acción
Confiabilidad,Mantener protocolos de calibración actuales
Variabilidad,Documentar heterogeneidad del terreno en mapas geofísicos
Variabilidad,Correlacionar con datos de profundidad y pozo
Calidad Contacto,Inspeccionar electrodos trimestralmente
Consistencia Temporal,Establecer baseline mensual para comparación
Consistencia Temporal,Analizar picos de variabilidad con precipitación
Completitud,Mantener revisiones periódicas del hardware
Anomalías,Investigar causa de anomalías detectadas
Anomalías,Usar anomalías como indicador de zonas de interés
General,Implementar monitoreo mensual de KPI
